Case Number,Case Open Date,Case Close Date,Case Year,Case Sub-Type,Address Zip Code
5119,12/13/1995,01/03/1996,1995,Residential House/yard,
2014991,07/14/2014,10/13/2014,2014,Waiver Request,
5899,06/03/1996,11/05/2019,1996,Residential   El  Amplification Equip,
1992930215,08/12/1992,08/12/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
20202179,07/16/2020,08/06/2020,2020,Information Request,
6481,11/04/1996,07/31/1997,1996,Residential House/yard,
20131143,09/10/2013,10/30/2013,2013,Residential   Mechanical,
20191304,03/13/2019,07/12/2019,2019,Residential Muti Tenant Dwelling,
6582,12/02/1996,07/31/1997,1996,Residential House/yard,
25308,08/05/2011,10/14/2011,2011,Waiver Request,
26474,06/04/2012,09/07/2012,2012,Waiver Request,
20212392,09/14/2021,09/22/2021,2021,Information Request,
2013608,06/05/2013,07/09/2013,2013,Residential Muti Tenant Dwelling,
15915,02/10/2005,03/02/2005,2005,Residential   Mechanical,
20212629,10/28/2021,11/15/2021,2021,Industrial/commercial   Equipment Noise,
22288,08/27/2009,08/27/2009,2009,Industrial/commercial   Equipment Noise,
22012,07/10/2009,07/20/2009,2009,Industrial/commercial  construction/repair/demolit,
20191664,04/25/2019,05/08/2019,2019,Industrial/commercial  construction/repair/demolit,
5375,01/23/1996,03/04/1996,1996,Residential   El  Amplification Equip,
14217,03/02/2004,12/21/2004,2004,Industrial/commercial  construction/repair/demolit,
7569,07/21/1997,07/28/1997,1997,Residential House/yard,
6540,11/22/1996,01/20/1997,1996,Residential House/yard,
16267,05/06/2005,08/31/2005,2005,Industrial/commercial   Equipment Noise,
5665,04/12/1996,05/29/1996,1996,Residential   El  Amplification Equip,
2014350,03/14/2014,03/14/2014,2014,Residential Muti Tenant Dwelling,
20221348,03/23/2022,05/10/2022,2022,Waiver Request,
18863,04/09/2007,07/02/2007,2007,Waiver Request,
4749,07/26/1995,05/13/1996,1995,Residential   Construction/repair/demolition,
1992930176,07/31/1992,07/31/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
21151,12/22/2008,02/03/2009,2008,Waiver Request,
20192741,11/25/2019,03/31/2020,2019,Waiver Request,
20181198,02/26/2018,03/19/2020,2018,Waiver Request,
20211479,03/31/2021,04/06/2021,2021,Residential Muti Tenant Dwelling,
20211860,06/08/2021,06/09/2021,2021,Information Request,
20192147,07/23/2019,07/30/2019,2019,Industrial/commercial  construction/repair/demolit,
20211811,06/02/2021,06/04/2021,2021,Residential   El  Amplification Equip,
6316,09/16/1996,10/02/1996,1996,Residential House/yard,
1989900399,10/30/1989,11/22/1989,1989,Waiver Request,
20221754,06/07/2022,06/23/2022,2022,Information Request,
6516,11/18/1996,06/18/1997,1996,Residential House/yard,
12881,05/04/2003,05/05/2003,2003,Information Request,
20172324,10/05/2017,11/02/2017,2017,Industrial/commercial   Equipment Noise,
20212714,11/15/2021,11/17/2021,2021,Information Request,
1991911477,06/13/1991,07/08/1991,1991,Residential Muti Tenant Dwelling,
20191867,05/29/2019,06/21/2019,2019,Residential   Motor Vehicle Noise,
23360,05/18/2010,07/16/2010,2010,Waiver Request,
21322,02/12/2009,04/17/2009,2009,Industrial/commercial  construction/repair/demolit,
3787,05/04/1995,06/14/1995,1995,Residential   Motor Vehicle Noise,
3106,04/26/1994,06/01/1994,1994,Industrial/commercial   Equipment Noise,
2014588,04/28/2014,04/28/2014,2014,Industrial/commercial   Electrical Amp Equip,
4152,03/14/1995,03/30/1995,1995,Residential   Construction/repair/demolition,
5843,05/17/1996,06/03/1996,1996,Industrial/commercial  construction/repair/demolit,
7320,05/22/1997,06/11/1997,1997,Industrial/commercial   Equipment Noise,
1990910410,10/16/1990,11/26/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
6894,02/28/1997,06/16/1997,1997,Residential House/yard,
8169,04/29/1999,09/08/1999,1999,Industrial/commercial   Equipment Noise,
5932,06/10/1996,07/05/1996,1996,Residential House/yard,
1992930226,08/14/1992,08/14/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
4205,03/23/1995,04/13/1995,1995,Residential House/yard,
1989900410,10/30/1989,11/30/1989,1989,Residential Muti Tenant Dwelling,
6213,08/12/1996,11/18/1996,1996,Industrial/commercial  construction/repair/demolit,
6472,10/29/1996,01/20/1997,1996,Industrial/commercial  construction/repair/demolit,
1990901098,05/25/1990,06/06/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
20622,07/21/2008,07/28/2008,2008,Industrial/commercial   Equipment Noise,
1991920056,07/08/1991,07/24/1991,1991,Residential Muti Tenant Dwelling,
1991920351,09/12/1991,11/06/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
4306,04/18/1995,06/05/1995,1995,Industrial/commercial   Equipment Noise,
1991920072,07/18/1991,08/09/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
4947,09/20/1995,02/05/1996,1995,Residential House/yard,
6080,07/23/1996,08/12/1996,1996,Industrial/commercial  construction/repair/demolit,
6159,07/31/1996,08/13/1996,1996,Residential   El  Amplification Equip,
6205,07/15/1996,11/18/1996,1996,Industrial/commercial   Equipment Noise,
1989900507,12/14/1989,12/28/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
6735,01/22/1997,06/09/1997,1997,Industrial/commercial   Refuse Noise Collection,
9268,11/26/1999,12/10/1999,1999,Residential   El  Amplification Equip,
1990900960,04/26/1990,06/11/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
4518,06/06/1995,06/21/1995,1995,Residential   El  Amplification Equip,
1992921236,04/24/1992,04/24/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
16984,11/30/2005,11/30/2005,2005,Information Request,
1989900164,08/15/1989,08/28/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
1992921042,03/04/1992,03/20/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
5914,06/06/1996,07/31/1996,1996,Industrial/commercial   Electrical Amp Equip,
6063,07/11/1996,11/18/1996,1996,Residential   Motor Vehicle Noise,
19411,08/20/2007,12/12/2008,2007,Industrial/commercial   heat Pump/ac Noise,
18257,10/12/2006,10/12/2006,2006,Industrial/commercial  construction/repair/demolit,
15443,10/20/2004,02/01/2005,2004,Residential   Construction/repair/demolition,
1990900807,03/16/1990,04/04/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
23333,05/11/2010,06/11/2010,2010,Residential House/yard,
6075,07/22/1996,07/29/1996,1996,Industrial/commercial   Equipment Noise,
7238,04/11/1997,04/14/1997,1997,Industrial/commercial  construction/repair/demolit,
1991920615,11/12/1991,12/02/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
4814,08/08/1995,09/11/1995,1995,Residential House/yard,
5781,05/06/1996,06/27/1996,1996,Industrial/commercial   Electrical Amp Equip,
1991911539,06/25/1991,07/03/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
1989900295,09/15/1989,09/11/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
1992930021,07/02/1992,08/17/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
1991920179,08/06/1991,09/04/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
1991911282,05/09/1991,06/11/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
6432,10/15/1996,11/26/1996,1996,Industrial/commercial   Equipment Noise,
16026,03/15/2005,03/15/2005,2005,Industrial/commercial   Refuse Noise Collection,
6815,02/06/1997,03/03/1997,1997,Industrial/commercial   Equipment Noise,
6584,11/29/1996,01/13/1997,1996,Residential House/yard,
1992921467,06/15/1992,09/09/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
1990910654,12/17/1990,01/14/1991,1990,Residential Muti Tenant Dwelling,
4517,06/06/1995,06/27/1995,1995,Residential   El  Amplification Equip,
5827,05/13/1996,06/04/1996,1996,Industrial/commercial   Equipment Noise,
1990900735,03/05/1990,03/21/1990,1990,Industrial/commercial   Refuse Noise Collection,
1990900928,04/20/1990,05/17/1990,1990,Waiver Request,
1989900336,10/06/1989,11/09/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
5517,03/15/1996,04/23/1996,1996,Industrial/commercial  construction/repair/demolit,
20271,04/25/2008,07/15/2008,2008,Waiver Request,
4150,03/08/1995,05/04/1995,1995,Residential House/yard,
20151573,05/04/2015,05/20/2015,2015,Industrial/commercial  construction/repair/demolit,
1990910042,07/11/1990,08/08/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
1991910676,01/03/1991,01/15/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
1992930197,08/04/1992,08/04/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
1989900333,08/23/1989,01/31/1990,1989,Noise Industrial/commercial   Leaf Blower Noise,
6131,07/25/1996,10/25/1996,1996,Industrial/commercial  construction/repair/demolit,
1990910399,10/16/1990,11/26/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
1992920800,01/02/1992,01/17/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
23743,08/23/2010,11/29/2010,2010,Industrial/commercial   Equipment Noise,
1990900963,04/26/1990,06/11/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
5671,04/11/1996,05/31/1996,1996,Industrial/commercial   Equipment Noise,
4519,06/06/1995,06/21/1995,1995,Industrial/commercial   Equipment Noise,
5993,06/25/1996,09/10/1996,1996,Residential   Mechanical,
1989900255,09/12/1989,09/20/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
26475,06/04/2012,08/20/2012,2012,Waiver Request,
7275,05/12/1997,10/14/1997,1997,Residential   Construction/repair/demolition,
2262,07/23/2001,10/01/2001,2001,Residential   El  Amplification Equip,
15623,12/06/2004,04/22/2005,2004,Residential   Construction/repair/demolition,
5751,05/01/1996,05/13/1996,1996,Industrial/commercial   Equipment Noise,
5618,04/04/1996,05/13/1996,1996,Industrial/commercial  construction/repair/demolit,
21017,11/03/2008,01/20/2009,2008,Residential   Construction/repair/demolition,
7503,06/26/1997,08/06/1997,1997,Industrial/commercial   Equipment Noise,
15522,11/09/2004,12/16/2004,2004,Industrial/commercial   Electrical Amp Equip,
6503,11/14/1996,12/26/1996,1996,Residential House/yard,
1989900002,07/05/1989,10/30/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
622,06/21/2000,08/08/2000,2000,Industrial/commercial  construction/repair/demolit,
5997,06/26/1996,12/26/1996,1996,Residential   El  Amplification Equip,
1990901253,06/25/1990,08/02/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
17667,05/16/2006,08/14/2006,2006,Information Request,
5400,02/20/1996,04/30/1996,1996,Industrial/commercial  construction/repair/demolit,
1990900885,04/09/1990,09/13/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
10596,10/28/1998,12/02/1998,1998,Industrial/commercial   Equipment Noise,
4775,08/08/1995,10/02/1995,1995,Residential House/yard,
23601,07/22/2010,10/26/2010,2010,Residential   Motor Vehicle Noise,
1992921220,04/21/1992,05/06/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
5509,03/12/1996,11/04/1996,1996,Industrial/commercial   Equipment Noise,
3956,01/10/1995,03/08/1995,1995,Residential   Mechanical,
1992921528,06/26/1992,08/17/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
1992920818,01/08/1992,02/11/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
1990910362,10/09/1990,10/25/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
6662,12/26/1996,01/13/1997,1996,Residential House/yard,
6062,07/11/1996,08/31/1996,1996,Industrial/commercial  construction/repair/demolit,
23328,05/10/2010,06/15/2010,2010,Waiver Request,
5183,11/29/1995,12/13/1995,1995,Industrial/commercial   Equipment Noise,
20351,05/13/2008,06/10/2008,2008,Residential   El  Amplification Equip,
20211545,04/12/2021,04/13/2021,2021,Residential Muti Tenant Dwelling,
7352,06/02/1997,07/08/1997,1997,Industrial/commercial   Equipment Noise,
1989900166,08/17/1989,08/28/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
6,01/06/2000,04/26/2000,2000,Industrial/commercial  construction/repair/demolit,
1991920302,09/04/1991,09/11/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
6666,12/30/1996,01/13/1997,1996,Residential House/yard,
6629,12/12/1996,02/14/1997,1996,Residential House/yard,
6554,11/25/1996,07/31/1997,1996,Industrial/commercial  construction/repair/demolit,
23857,09/21/2010,10/07/2010,2010,Industrial/commercial   Equipment Noise,
1991920359,09/12/1991,09/20/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
7491,06/30/1997,07/03/1997,1997,Residential House/yard,
5066,10/25/1995,11/08/1995,1995,Industrial/commercial  construction/repair/demolit,
12708,04/07/2003,04/12/2003,2003,Information Request,
1990901080,05/23/1990,06/11/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
20344,05/09/2008,11/07/2008,2008,Waiver Request,
1991920667,11/30/1991,11/30/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
12898,05/20/2003,05/20/2003,2003,Information Request,
9240,11/12/1999,01/31/2000,1999,Industrial/commercial  construction/repair/demolit,
7290,05/15/1997,05/28/1997,1997,Industrial/commercial   Equipment Noise,
23626,07/28/2010,08/09/2010,2010,Residential   Mechanical,
5783,05/06/1996,10/10/1996,1996,Residential   Motor Vehicle Noise,
20813,09/10/2008,12/09/2008,2008,Industrial/commercial   Equipment Noise,
15312,09/24/2004,11/26/2004,2004,Industrial/commercial   Equipment Noise,
7443,06/18/1997,06/27/1997,1997,Industrial/commercial  construction/repair/demolit,
1991920073,07/18/1991,09/11/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
1989900401,10/30/1989,11/16/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
26561,06/21/2012,08/21/2012,2012,Waiver Request,
4117,02/28/1995,03/13/1995,1995,Industrial/commercial   Equipment Noise,
5252,01/02/1996,02/12/1996,1996,Industrial/commercial   Equipment Noise,
1991920513,10/15/1991,10/31/1991,1991,Industrial/commercial   Refuse Noise Collection,
6420,10/07/1996,10/24/1996,1996,Industrial/commercial   Equipment Noise,
1990900554,01/09/1990,01/30/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
20151457,04/16/2015,06/24/2015,2015,Residential   Construction/repair/demolition,
4427,05/15/1995,06/16/1995,1995,Residential House/yard,
3027,03/28/1994,03/28/1994,1994,Industrial/commercial   Equipment Noise,
1990910082,07/27/1990,08/24/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
5001,10/13/1995,11/01/1995,1995,Industrial/commercial   Equipment Noise,
4194,03/22/1995,03/28/1995,1995,Residential House/yard,
1990900980,05/02/1990,08/02/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
4774,08/11/1995,08/08/1995,1995,Residential   Mechanical,
20202175,07/16/2020,07/30/2020,2020,Information Request,
23021,03/11/2010,05/14/2010,2010,Waiver Request,
1991920446,09/30/1991,10/21/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
14437,04/07/2004,06/21/2004,2004,Industrial/commercial   Equipment Noise,
1991910732,01/24/1991,01/24/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
5872,05/23/1996,06/27/1996,1996,Industrial/commercial   Equipment Noise,
1989900361,10/17/1989,10/27/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
15614,12/03/2004,12/03/2004,2004,Industrial/commercial   Refuse Noise Collection,
1990901200,06/15/1990,07/16/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
24991,05/25/2011,06/28/2011,2011,Residential   Mechanical,
1991910772,01/30/1991,02/21/1991,1991,Waiver Request,
1991911293,05/07/1991,06/11/1991,1991,Residential Muti Tenant Dwelling,
1992921524,06/25/1992,08/17/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
1990910615,12/10/1990,01/15/1991,1990,Noise Industrial/commercial   Leaf Blower Noise,
1991920012,07/02/1991,03/06/1992,1991,Noise Industrial/commercial   Leaf Blower Noise,
1991920343,09/11/1991,11/06/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
13010,06/19/2003,07/18/2003,2003,Industrial/commercial   Electrical Amp Equip,
13015,05/30/2003,05/30/2003,2003,Residential   El  Amplification Equip,
7058,04/02/1997,04/04/1997,1997,Industrial/commercial   Electrical Amp Equip,
1992921019,02/24/1992,04/20/1992,1992,Industrial/commercial   Refuse Noise Collection,
1991911521,06/17/1991,06/20/1991,1991,Residential Muti Tenant Dwelling,
10463,11/02/1998,11/28/1998,1998,Residential   El  Amplification Equip,
6441,10/17/1996,10/29/1996,1996,Industrial/commercial   Equipment Noise,
6343,09/24/1996,10/23/1996,1996,Residential House/yard,
7041,03/28/1997,04/30/1997,1997,Industrial/commercial  construction/repair/demolit,
19392,08/13/2007,08/30/2007,2007,Industrial/commercial  construction/repair/demolit,
6157,07/31/1996,08/12/1996,1996,Industrial/commercial  construction/repair/demolit,
20162183,08/31/2016,09/14/2016,2016,Residential   Motor Vehicle Noise,
16941,11/17/2005,03/06/2006,2005,Residential   El  Amplification Equip,
5297,12/04/1995,02/20/1996,1995,Industrial/commercial   Refuse Noise Collection,
9649,03/12/1998,02/01/1999,1998,Residential   El  Amplification Equip,
1992930079,07/14/1992,08/17/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
20817,09/11/2008,09/18/2008,2008,Industrial/commercial  construction/repair/demolit,
1992920948,02/11/1992,03/06/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
25704,11/21/2011,01/24/2012,2011,Industrial/commercial   Electrical Amp Equip,
6348,09/20/1996,11/04/1996,1996,Industrial/commercial   Equipment Noise,
4662,07/07/1995,09/19/1995,1995,Residential   El  Amplification Equip,
1804,09/14/2001,10/19/2001,2001,Industrial/commercial   Equipment Noise,
3031,04/04/1994,05/23/1994,1994,Industrial/commercial   Equipment Noise,
24263,01/07/2011,01/07/2011,2011,Industrial/commercial   Electrical Amp Equip,
7091,04/10/1997,05/13/1997,1997,Industrial/commercial   Equipment Noise,
6445,10/17/1996,11/30/1996,1996,Industrial/commercial   Equipment Noise,
1991911440,06/10/1991,06/20/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
25307,08/05/2011,12/22/2011,2011,Waiver Request,
6219,08/15/1996,01/20/1997,1996,Industrial/commercial  construction/repair/demolit,
5852,05/20/1996,06/13/1996,1996,Residential House/yard,
16542,07/13/2005,07/13/2005,2005,Residential   El  Amplification Equip,
4729,07/26/1995,04/13/1998,1995,Industrial/commercial   Equipment Noise,
1989900078,07/21/1989,08/21/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
1992930013,07/01/1992,08/17/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
5688,04/18/1996,08/15/1996,1996,Residential House/yard,
1990910412,10/16/1990,11/26/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
7311,05/20/1997,06/20/1997,1997,Industrial/commercial   Equipment Noise,
1991911233,05/04/1991,05/04/1991,1991,Industrial/commercial   Refuse Noise Collection,
1991911340,05/22/1991,06/26/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
1991911552,06/26/1991,07/24/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
1989900187,08/23/1989,09/20/1989,1989,Industrial/commercial   Refuse Noise Collection,
5841,05/16/1996,07/22/1996,1996,Industrial/commercial   Equipment Noise,
21032,11/10/2008,11/17/2008,2008,Residential   Motor Vehicle Noise,
23515,06/30/2010,06/30/2010,2010,Residential   Mechanical,
5383,02/15/1996,03/11/1996,1996,Industrial/commercial   Equipment Noise,
7247,05/08/1997,06/27/1997,1997,Residential   El  Amplification Equip,
1992930380,09/25/1992,09/25/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
4972,10/02/1995,10/19/1995,1995,Industrial/commercial   Equipment Noise,
1991911547,06/25/1991,07/25/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
15047,07/29/2004,08/13/2004,2004,Industrial/commercial  construction/repair/demolit,
12880,05/05/2003,05/06/2003,2003,Information Request,
16270,05/06/2005,08/29/2005,2005,Industrial/commercial  construction/repair/demolit,
12711,04/11/2003,04/11/2003,2003,Information Request,
1990900830,03/29/1990,04/23/1990,1990,Residential Muti Tenant Dwelling,
1989900048,07/17/1989,09/11/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
1990901095,05/29/1990,06/11/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
1991911287,05/09/1991,05/20/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
1991920520,10/14/1991,10/27/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
3797,06/21/1995,07/07/1995,1995,Residential House/yard,
10494,10/01/1998,11/18/1998,1998,Residential   El  Amplification Equip,
21142,12/18/2008,12/29/2008,2008,Residential   El  Amplification Equip,
5466,05/23/1996,06/03/1996,1996,Industrial/commercial  construction/repair/demolit,
1991911504,06/18/1991,06/20/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
1990900981,05/02/1990,08/03/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
20141142,08/20/2014,10/10/2014,2014,Residential Muti Tenant Dwelling,
18858,04/06/2007,01/02/2013,2007,Industrial/commercial  construction/repair/demolit,
6132,07/25/1996,08/12/1996,1996,Project   Community Noise Survey,
7011,03/25/1997,10/14/1997,1997,Residential House/yard,
12873,04/30/2003,05/05/2003,2003,Industrial/commercial  construction/repair/demolit,
1992921107,03/17/1992,04/20/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
20192296,08/26/2019,08/26/2019,2019,Industrial/commercial  construction/repair/demolit,
12713,04/18/2003,04/21/2003,2003,Information Request,
24670,04/18/2011,07/07/2011,2011,Industrial/commercial  construction/repair/demolit,
20151721,05/29/2015,06/02/2015,2015,Industrial/commercial  construction/repair/demolit,
5832,05/14/1996,08/01/1996,1996,Residential   Mechanical,
5467,07/12/1996,11/18/1996,1996,Industrial/commercial   Electrical Amp Equip,
5656,04/10/1996,06/27/1996,1996,Residential   Motor Vehicle Noise,
21267,02/02/2009,02/17/2009,2009,Residential   Mechanical,
14945,07/09/2004,11/30/2004,2004,Residential   Mechanical,
20152377,10/28/2015,11/02/2015,2015,Industrial/commercial  construction/repair/demolit,
12781,05/08/2003,06/20/2003,2003,Residential   Mechanical,
25063,06/07/2011,08/08/2011,2011,Industrial/commercial   Electrical Amp Equip,
5705,04/22/1996,06/03/1996,1996,Industrial/commercial   Equipment Noise,
17347,03/03/2006,03/27/2006,2006,Industrial/commercial  construction/repair/demolit,
7090,04/10/1997,04/25/1997,1997,Residential House/yard,
1989900362,10/17/1989,01/29/1990,1989,Residential Muti Tenant Dwelling,
20192085,07/10/2019,07/10/2019,2019,Residential Muti Tenant Dwelling,
1991911306,05/13/1991,06/19/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
1992921013,02/24/1992,06/25/1992,1992,Residential Muti Tenant Dwelling,
20583,07/08/2008,07/30/2008,2008,Industrial/commercial   Electrical Amp Equip,
22361,09/10/2009,10/02/2009,2009,Residential   Mechanical,
10466,10/31/1998,11/03/1998,1998,Industrial/commercial  construction/repair/demolit,
1991911360,05/28/1991,06/12/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
6868,02/24/1997,03/04/1997,1997,Residential House/yard,
12897,05/19/2003,05/28/2003,2003,Residential   Motor Vehicle Noise,
1990910270,09/13/1990,10/10/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
7401,06/12/1997,06/27/1997,1997,Residential House/yard,
22225,08/17/2009,10/29/2009,2009,Waiver Request,
1990910247,09/06/1990,09/13/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
4459,05/16/1995,03/28/1996,1995,Industrial/commercial   Equipment Noise,
17281,02/14/2006,02/23/2006,2006,Residential   Construction/repair/demolition,
4597,06/28/1995,07/27/1995,1995,Residential House/yard,
16480,06/30/2005,06/30/2005,2005,Information Request,
1992921470,06/15/1992,07/29/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
1989900429,11/16/1989,11/22/1989,1989,Waiver Request,
6913,03/07/1997,04/22/1997,1997,Residential House/yard,
3801,06/26/1995,07/05/1995,1995,Industrial/commercial   Electrical Amp Equip,
6214,08/01/1996,08/29/1996,1996,Industrial/commercial   heat Pump/ac Noise,
1991911145,04/25/1991,05/22/1991,1991,Residential Muti Tenant Dwelling,
5750,04/30/1996,07/31/1996,1996,Industrial/commercial   Equipment Noise,
26928,08/24/2012,09/25/2012,2012,Residential Muti Tenant Dwelling,
14654,05/13/2004,06/08/2005,2004,Industrial/commercial   Equipment Noise,
20131499,12/16/2013,01/15/2014,2013,Residential   El  Amplification Equip,
22873,01/20/2010,02/17/2010,2010,Residential   Construction/repair/demolition,
1989900001,07/05/1989,07/24/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
1991920521,10/14/1991,10/29/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
21137,12/17/2008,01/12/2009,2008,Residential   Mechanical,
1990901037,05/11/1990,06/11/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
4538,06/06/1995,06/08/1995,1995,Residential House/yard,
5154,10/31/1995,12/13/1995,1995,Industrial/commercial  construction/repair/demolit,
17222,01/26/2006,03/28/2006,2006,Industrial/commercial   Equipment Noise,
2763,11/29/2001,12/17/2001,2001,Residential   El  Amplification Equip,
5488,07/16/1996,07/31/1996,1996,Residential   Motor Vehicle Noise,
1991911074,04/08/1991,05/13/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
4495,05/23/1995,02/08/1996,1995,Industrial/commercial   Equipment Noise,
1990901054,05/18/1990,06/11/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
20161214,03/09/2016,05/17/2016,2016,Industrial/commercial   Equipment Noise,
1989900210,08/30/1989,09/20/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
20161573,06/03/2016,06/20/2016,2016,Industrial/commercial   Equipment Noise,
23092,03/25/2010,07/22/2010,2010,Residential   Mechanical,
1991920278,08/27/1991,09/05/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
4644,08/22/1995,01/09/1996,1995,Industrial/commercial   Electrical Amp Equip,
5296,01/19/1996,05/07/1996,1996,Residential   Mechanical,
2013147,01/28/2013,03/18/2013,2013,Residential   El  Amplification Equip,
21814,06/02/2009,08/12/2009,2009,Industrial/commercial   Electrical Amp Equip,
6083,07/24/1996,09/11/1996,1996,Industrial/commercial  construction/repair/demolit,
6604,12/03/1996,02/14/1997,1996,Residential House/yard,
4122,01/26/1995,02/16/1995,1995,Residential House/yard,
13528,10/01/2003,01/21/2004,2003,Industrial/commercial   Equipment Noise,
9026,09/07/1999,10/11/1999,1999,Industrial/commercial   Equipment Noise,
7229,05/05/1997,05/16/1997,1997,Industrial/commercial   Equipment Noise,
6976,03/17/1997,04/16/1997,1997,Residential   Construction/repair/demolition,
4793,08/14/1995,09/11/1995,1995,Industrial/commercial   Equipment Noise,
6453,10/23/1996,02/07/1997,1996,Residential House/yard,
1990910090,08/01/1990,08/08/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
23375,05/21/2010,07/16/2010,2010,Industrial/commercial   Equipment Noise,
1989900363,10/17/1989,11/02/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
17165,01/11/2006,04/17/2006,2006,Information Request,
4177,03/22/1995,04/26/1995,1995,Industrial/commercial  construction/repair/demolit,
4871,09/08/1995,10/02/1995,1995,Residential House/yard,
21523,03/31/2009,04/20/2009,2009,Residential   Motor Vehicle Noise,
4520,06/05/1995,07/05/1995,1995,Industrial/commercial   Equipment Noise,
7701,08/14/1997,08/29/1997,1997,Residential House/yard,
4887,09/08/1995,09/25/1995,1995,Residential House/yard,
6185,08/07/1996,08/29/1996,1996,Industrial/commercial   Equipment Noise,
1990910080,07/26/1990,08/21/1990,1990,Residential Muti Tenant Dwelling,
